full_name,team_id,sport_id,stat_name,stat_value,choice,american_price,decimal_price
MrPhant0m,09394424-032b-404a-8328-9aad2b8544db,LOL,kills_on_map_1,5.5,over,+114,2.14
MrPhant0m,09394424-032b-404a-8328-9aad2b8544db,LOL,kills_on_map_1,5.5,under,-120,1.84
MrPhant0m,09394424-032b-404a-8328-9aad2b8544db,LOL,fantasy_points_on_map_1,33.6,over,+100,2.0
MrPhant0m,09394424-032b-404a-8328-9aad2b8544db,LOL,fantasy_points_on_map_1,33.6,under,+100,2.0
MrPhant0m,09394424-032b-404a-8328-9aad2b8544db,LOL,assists_on_map_1,7.5,over,+112,2.12
MrPhant0m,09394424-032b-404a-8328-9aad2b8544db,LOL,assists_on_map_1,7.5,under,-117,1.86
MrPhant0m,09394424-032b-404a-8328-9aad2b8544db,LOL,deaths_on_map_1,3.5,over,+112,2.12
MrPhant0m,09394424-032b-404a-8328-9aad2b8544db,LOL,deaths_on_map_1,3.5,under,-148,1.68
Hattor1s,ddeb2dce-a7a2-44fc-bfed-b58b48d00511,LOL,kills_on_map_1,4.5,over,-117,1.86
Hattor1s,ddeb2dce-a7a2-44fc-bfed-b58b48d00511,LOL,kills_on_map_1,4.5,under,+110,2.1
Hattor1s,ddeb2dce-a7a2-44fc-bfed-b58b48d00511,LOL,fantasy_points_on_map_1,28.1,over,+100,2.0
Hattor1s,ddeb2dce-a7a2-44fc-bfed-b58b48d00511,LOL,fantasy_points_on_map_1,28.1,under,+100,2.0
Hattor1s,ddeb2dce-a7a2-44fc-bfed-b58b48d00511,LOL,assists_on_map_1,5.5,over,+100,2.0
Hattor1s,ddeb2dce-a7a2-44fc-bfed-b58b48d00511,LOL,assists_on_map_1,5.5,under,+100,2.0
Hattor1s,ddeb2dce-a7a2-44fc-bfed-b58b48d00511,LOL,deaths_on_map_1,3.5,over,+100,2.0
Hattor1s,ddeb2dce-a7a2-44fc-bfed-b58b48d00511,LOL,deaths_on_map_1,3.5,under,+100,2.0
Wrongo,09394424-032b-404a-8328-9aad2b8544db,LOL,kills_on_map_1,0.5,over,+118,2.18
Wrongo,09394424-032b-404a-8328-9aad2b8544db,LOL,kills_on_map_1,0.5,under,-125,1.8
Wrongo,09394424-032b-404a-8328-9aad2b8544db,LOL,fantasy_points_on_map_1,25.8,over,+100,2.0
Wrongo,09394424-032b-404a-8328-9aad2b8544db,LOL,fantasy_points_on_map_1,25.8,under,+100,2.0
Wrongo,09394424-032b-404a-8328-9aad2b8544db,LOL,assists_on_map_1,12.5,over,-152,1.66
Wrongo,09394424-032b-404a-8328-9aad2b8544db,LOL,assists_on_map_1,12.5,under,+123,2.23
Wrongo,09394424-032b-404a-8328-9aad2b8544db,LOL,deaths_on_map_1,3.5,over,+106,2.06
Wrongo,09394424-032b-404a-8328-9aad2b8544db,LOL,deaths_on_map_1,3.5,under,-132,1.76
23Nino,ddeb2dce-a7a2-44fc-bfed-b58b48d00511,LOL,kills_on_map_1,2.5,over,+100,2.0
23Nino,ddeb2dce-a7a2-44fc-bfed-b58b48d00511,LOL,kills_on_map_1,2.5,under,+100,2.0
23Nino,ddeb2dce-a7a2-44fc-bfed-b58b48d00511,LOL,fantasy_points_on_map_1,19.3,over,+100,2.0
23Nino,ddeb2dce-a7a2-44fc-bfed-b58b48d00511,LOL,fantasy_points_on_map_1,19.3,under,+100,2.0
